"Shipping/Handling","Sales","Sale Taxes","Sale Tax Refunds","Refunds","Product Notes","JV Percentage","Fees","Fee Voids","Date","Commissions Voids","Commissions","Chargebacks","Balance","Amount","Alerts"
"0.00","177.00","0.00","0.00","0.00","$55.75 Net ($177.00 Sales, $17.70 Fees, $103.55 Commissions)","100.00","17.70","0.00","2025-12-29 07:12:12","0.00","103.55","0.00","55.75","55.75","0.00"
"0.00","216.00","0.00","0.00","0.00","$76.81 Net ($216.00 Sales, $21.60 Fees, $117.59 Commissions) ","100.00","21.60","0.00","2026-01-08 07:12:12","0.00","117.59","0.00","132.56","76.81","0.00"
"0.00","333.00","0.00","0.00","0.00","$127.17 Net ($333.00 Sales, $33.30 Fees, $172.53 Commissions) ","100.00","33.30","0.00","2026-01-09 07:12:12","0.00","172.53","0.00","259.73","127.17","0.00"
"0.00","246.87","12.87","0.00","0.00","$72.42 Net ($246.87 Sales, $24.69 Fees, $136.89 Commissions, $12.87 Sales Taxes) ","100.00","24.69","0.00","2026-01-10 07:12:12","0.00","136.89","0.00","332.15","72.42","0.00"
"0.00","0.00","0.00","0.00","0.00","Allowance On Hold (2026-01-09 to 2026-01-09) ","100.00","0.00","0.00","2026-01-10 07:12:13","0.00","0.00","0.00","321.15","-11.00","0.00"
"0.00","0.00","0.00","0.00","0.00","Transfer into AB Keto ACV Gummies vendor account   ","100.00","0.00","0.00","2026-01-14 08:22:33","0.00","0.00","0.00","0.00","-321.15","0.00"
"0.00","0.00","0.00","0.00","0.00","Withdraw - Paid ","100.00","0.00","0.00","2026-01-14 18:27:06","0.00","0.00","0.00","-55.75","-55.75","0.00"
"0.00","234.00","0.00","0.00","0.00","$73.71 Net ($234.00 Sales, $23.40 Fees, $136.89 Commissions) ","100.00","23.40","0.00","2026-01-15 07:12:12","0.00","136.89","0.00","17.96","73.71","0.00"
"0.00","0.00","0.00","0.00","0.00","Allowance On Hold (2026-01-14 to 2026-01-14) ","100.00","0.00","0.00","2026-01-15 07:12:13","0.00","0.00","0.00","8.25","-9.71","0.00"
"0.00","0.00","0.00","0.00","0.00","REVERSAL of Transfer into AB Keto ACV Gummies vendor account ","100.00","0.00","0.00","2026-01-15 07:12:14","0.00","0.00","0.00","329.40","321.15","0.00"
"0.00","0.00","0.00","0.00","0.00","Withdraw - Paid ","100.00","0.00","0.00","2026-01-19 15:27:47","0.00","0.00","0.00","0.00","-329.40","0.00"
